"","Country","FSI","TerAtt","CtryBomb","ArmSale","RefOrig","GNI","refPer"
"1","South Sudan",1138,0,0,0,616,1810,2.13
"2","Sudan",1115,0,0,0,659,3820,0.77
"3","Chad",1101,0,0,0,15,2080,2.63
"4","Afghanistan",1079,0,0,0,2596270,1960,0.79
"5","Haiti",1051,0,0,0,37,1740,0
"6","Iraq",1047,21,1,0,370,15190,0.76
"7","Guinea",1038,0,0,0,15,1140,0.07
"8","Nigeria",1035,21,0,0,55,5740,0
"9","Pakistan",1017,10,0,1,316,5110,0.83
"10","Burundi",1007,0,0,0,72,770,0.48
"11","Zimbabwe",1005,0,0,0,22,1660,0.04
"12","Niger",984,0,0,0,739,930,0.63
"13","Kenya",983,0,0,0,9,2950,1.2
"14","Cameroon",978,0,0,0,11,2960,1.47
"15","Uganda",977,0,0,0,7,1760,1.22
"16","Ethiopia",972,0,0,0,87,1500,0.74
"17","Myanmar",963,0,0,0,224,4680,0
"18","Liberia",955,0,0,0,14,710,0.81
"19","Mauritania",954,0,0,0,34,3710,1.9
"20","Mali",952,0,0,0,139,1900,0.09
"21","Rwanda",913,0,0,0,79,1640,1.25
"22","Nepal",912,0,0,0,9,2440,0.11
"23","Sierra Leone",910,0,0,0,5,1950,0.01
"24","Bangladesh",907,0,0,0,11,3350,0.14
"25","Angola",905,0,0,0,9,6590,0.06
"26","Burkina Faso",894,0,0,0,2,1610,0.19
"27","Mozambique",878,0,0,0,58,1120,0.02
"28","Sri Lanka",877,0,0,0,122,10960,0
"29","Malawi",876,0,0,0,361,1140,0.05
"30","Swaziland",876,0,0,0,161,8100,0.05
"31","Cambodia",874,0,0,0,13,3090,0
"32","Zambia",863,0,0,0,316,3670,0.16
"33","Papua New Guinea",862,0,0,0,288,2800,0.12
"34","Togo",858,0,0,0,9,1270,0.3
"35","Solomon Islands",853,0,0,0,70,2040,0
"36","Equatorial Guinea",852,0,0,0,174,29860,0
"37","Philippines",847,0,0,0,666,8480,0
"38","Madagascar",842,0,0,0,281,1410,0
"39","Comoros",838,0,0,0,581,1490,0
"40","Tajikistan",838,0,0,0,725,3390,0.02
"41","Senegal",836,0,0,0,23,2290,0.1
"42","Uzbekistan",835,0,0,68,5,5880,0
"43","Guatemala",832,0,0,0,7,7290,0
"44","Tanzania",818,0,0,0,858,2520,0.4
"45","Lesotho",809,0,0,0,17,3390,0
"46","Colombia",802,0,0,0,103,12950,0
"47","Honduras",798,0,0,0,4,4600,0
"48","India",796,0,0,42,10,5610,0.02
"49","Nicaragua",790,0,0,0,2,4830,0.01
"50","Benin",789,0,0,0,340,2030,0
"51","Georgia",789,0,0,7,7,9130,0.05
"52","Thailand",788,0,0,2,231,14990,0.16
"53","Bolivia",785,0,0,0,600,6320,0.01
"54","Algeria",783,0,0,0,4,13960,0.24
"55","Turkey",773,4,1,277,64,19450,3.23
"56","Azerbaijan",763,0,0,0,11,17000,0.01
"57","Fiji",762,0,0,0,924,8480,0
"58","Turkmenistan",760,0,0,0,484,14360,0
"59","Ecuador",756,0,0,0,804,11330,0.75
"60","Ukraine",755,0,0,528,238,8580,0.01
"61","China",749,0,0,2123,211,13460,0.02
"62","Indonesia",749,0,0,94,10,10210,0
"63","Tunisia",746,0,0,0,1,10930,0.01
"64","Morocco",742,0,0,0,2,7340,0.01
"65","Belarus",739,0,0,81,4,17720,0.02
"66","Moldova",732,0,0,0,2,5540,0.01
"67","Paraguay",726,0,0,0,94,8510,0
"68","El Salvador",725,0,0,0,11,7990,0
"69","Saudi Arabia",722,3,3,0,630,53410,0
"70","Gabon",720,0,0,0,172,18510,0.05
"71","Peru",720,0,0,0,4,11650,0
"72","Ghana",712,0,0,0,22,3920,0.06
"73","Namibia",711,0,0,0,1,9990,0.07
"74","Guyana",709,0,0,0,700,7180,0
"75","Dominican Republic",708,0,0,0,349,12650,0.01
"76","Vietnam",707,0,0,0,313,5390,0
"77","Mexico",704,0,0,0,11,17070,0
"78","South Africa",699,0,0,59,424,12750,0.22
"79","Armenia",696,0,0,0,12,8500,0.64
"80","Samoa",676,0,0,0,1,5630,0
"81","Suriname",667,0,0,0,17,16500,0
"82","Kazakhstan",665,0,0,0,2,22310,0
"83","Malaysia",661,0,0,0,468,24900,0.31
"84","Belize",660,0,0,0,45,7800,0.01
"85","Brazil",653,0,0,109,977,15650,0
"86","Jamaica",650,0,0,0,2,8540,0
"87","Cyprus",640,0,0,0,10,29370,0.61
"88","Botswana",635,0,0,0,237,15660,0.09
"89","Bahrain",634,0,0,0,347,37620,0.02
"90","Grenada",630,0,0,0,324,12230,0
"91","Albania",612,0,0,0,10,11170,0
"92","Kuwait",585,0,0,0,981,82020,0.02
"93","Mongolia",566,0,0,0,2,11040,0
"94","Antigua and Barbuda",562,0,0,0,53,21460,0.02
"95","Greece",559,0,0,0,113,26390,0.28
"96","Montenegro",552,0,0,0,607,15610,0.28
"97","Bulgaria",537,0,0,4,2,17260,0.23
"98","Panama",532,0,0,0,89,19820,0.44
"99","Romania",529,0,0,0,2,20530,0.01
"100","Hungary",527,0,0,0,1,24220,0.04
"101","Croatia",524,0,0,0,40,21560,0.01
"102","Oman",516,0,0,0,29,37550,0.01
"103","Barbados",490,0,0,0,86,15400,0
"104","Argentina",484,0,0,0,318,19500,0.01
"105","Latvia",474,0,0,0,213,23820,0.01
"106","Costa Rica",451,0,0,0,417,14410,0.08
"107","Qatar",451,0,0,0,21,132900,0.01
"108","Estonia",434,0,0,0,339,28150,0.01
"109","Mauritius",432,0,0,0,94,18740,0
"110","Italy",431,0,0,802,67,36070,0.19
"111","Lithuania",424,0,0,0,183,27730,0.04
"112","Chile",419,0,0,0,579,22230,0.01
"113","Poland",407,0,0,3,1,24820,0.04
"114","Spain",398,0,0,483,60,33690,0.01
"115","Malta",396,0,0,0,5,31400,1.64
"116","Uruguay",362,0,0,0,124,20150,0.01
"117","Japan",351,0,0,0,262,40880,0
"118","France",345,9,2,2226,93,40680,0.41
"119","United States",340,3,7,9894,5,56130,0.08
"120","Slovenia",339,0,0,0,26,30950,0.01
"121","Singapore",329,0,0,46,59,79660,0
"122","United Kingdom",324,0,2,1393,141,40210,0.19
"123","Portugal",292,0,0,169,31,28420,0.01
"124","Belgium",290,1,1,13,75,45400,0.31
"125","Germany",286,4,1,0,176,48150,0.39
"126","Netherlands",282,0,1,466,68,48930,0.52
"127","Austria",275,0,0,14,10,48760,0.84
"128","Luxembourg",241,0,0,0,2,66420,0.23
"129","Canada",238,0,0,127,95,44230,0.38
"130","Iceland",228,0,0,0,1,43930,0.05
"131","Sweden",226,0,0,249,18,47270,1.73
"132","Ireland",225,0,0,0,10,43540,0.13
"133","Australia",225,0,0,127,25,45060,0.16
"134","Switzerland",218,0,0,186,19,61880,0.88
"135","Denmark",215,1,1,25,12,48650,0.48
"136","New Zealand",213,0,0,6,17,35630,0.03
"137","Norway",212,0,0,150,13,68850,0.97
"138","Finland",188,0,0,66,7,41900,0.23
"139","Syria",1110,0,1,0,3869626,5120,13
